sample_lib,date,experiment,antibody,concentration,selection,cells_sorted,counts all variants,counts SARS-CoV-2 variants,counts:cells all variants,counts:cells SARS-CoV-2 variants
"expt_68-73-none-0-reference, lib1",201106,expt_68-73,none,0,reference,,2.81e+07,2.78e+07,,
"expt_68-73-none-0-reference, lib2",201106,expt_68-73,none,0,reference,,3.11e+07,3.09e+07,,
"expt_71-S2X259-59-escape, lib1",201106,expt_71,S2X259,59,escape,700753.0,2.31e+06,2.28e+06,3.2980964762191527,3.2591184054866695
"expt_71-S2X259-59-escape, lib2",201106,expt_71,S2X259,59,escape,600000.0,1.4e+06,1.39e+06,2.3340533333333333,2.3105583333333333
"expt_130-none-0-reference, lib1",210526,expt_130,none,0,reference,,2.63e+07,2.6e+07,,
"expt_130-none-0-reference, lib2",210526,expt_130,none,0,reference,,2.65e+07,2.63e+07,,
"expt_130-S2K146-63-escape, lib1",210526,expt_130,S2K146,63,escape,816032.0,2.21e+06,2.19e+06,2.7129781675228424,2.678685394690404
"expt_130-S2K146-63-escape, lib2",210526,expt_130,S2K146,63,escape,698156.0,1.75e+06,1.73e+06,2.507157426133987,2.479122144620973
"expt_135-139-none-0-reference, lib1",211105,expt_135-139,none,0,reference,,5.93e+07,5.87e+07,,
"expt_135-139-none-0-reference, lib2",211105,expt_135-139,none,0,reference,,5.49e+07,5.44e+07,,
"expt_140-148-none-0-reference, lib1",211108,expt_140-148,none,0,reference,,6.2e+07,6.14e+07,,
"expt_140-148-none-0-reference, lib2",211108,expt_140-148,none,0,reference,,5.73e+07,5.68e+07,,
"expt_135-mAb1-139-escape, lib1",211105,expt_135,mAb1,139,escape,842165.0,4.73e+06,4.71e+06,5.612744533434659,5.594431020049515
"expt_135-mAb1-139-escape, lib2",211105,expt_135,mAb1,139,escape,851124.0,3.98e+06,3.97e+06,4.679579003764434,4.665528172158228
"expt_136-mAb2-232-escape, lib1",211105,expt_136,mAb2,232,escape,617689.0,3.11e+06,3.1e+06,5.036307915472025,5.013513272860615
"expt_136-mAb2-232-escape, lib2",211105,expt_136,mAb2,232,escape,614856.0,2.77e+06,2.76e+06,4.506902429186671,4.489301560040074
"expt_137-mAb3-234-escape, lib1",211105,expt_137,mAb3,234,escape,1190414.0,5.44e+06,5.43e+06,4.566068611424261,4.565122722010998
"expt_137-mAb3-234-escape, lib2",211105,expt_137,mAb3,234,escape,1253385.0,5.1e+06,5.1e+06,4.068010228301759,4.0656430386513325
"expt_138-mAb4-462-escape, lib1",211105,expt_138,mAb4,462,escape,604056.0,3.02e+06,3.01e+06,5.003205000860848,4.981801356165653
"expt_138-mAb4-462-escape, lib2",211105,expt_138,mAb4,462,escape,622698.0,2.92e+06,2.91e+06,4.695324218160328,4.677501774535971
"expt_139-mAb5-1694-escape, lib1",211105,expt_139,mAb5,1694,escape,2222036.0,1.13e+07,1.11e+07,5.081434324196367,4.998891107074773
"expt_139-mAb5-1694-escape, lib2",211105,expt_139,mAb5,1694,escape,2245393.0,1.13e+07,1.11e+07,5.019572520267054,4.952325940269699
"expt_140-mAb6-584-escape, lib1",211108,expt_140,mAb6,584,escape,1002651.0,1.59e+06,1.58e+06,1.5870946121831027,1.5768407950523162
"expt_140-mAb6-584-escape, lib2",211108,expt_140,mAb6,584,escape,1011280.0,1.25e+06,1.24e+06,1.2340647496242385,1.226657305592912
"expt_141-mAb7-103-escape, lib1",211108,expt_141,mAb7,103,escape,1959806.0,2.73e+06,2.73e+06,1.3938665357693567,1.391732140834348
"expt_141-mAb7-103-escape, lib2",211108,expt_141,mAb7,103,escape,1799047.0,2.69e+06,2.68e+06,1.4934201274341359,1.4911678238534067
"expt_142-mAb8-2000-escape, lib1",211108,expt_142,mAb8,2000,escape,1421301.0,2.32e+06,2.31e+06,1.6355979486400136,1.6278564498301205
"expt_142-mAb8-2000-escape, lib2",211108,expt_142,mAb8,2000,escape,1374728.0,2.47e+06,2.46e+06,1.7976101454251314,1.7896994896444969
"expt_143-mAb9-154-escape, lib1",211108,expt_143,mAb9,154,escape,429649.0,7.53e+05,7.49e+05,1.7535918854693018,1.7436884526671772
"expt_143-mAb9-154-escape, lib2",211108,expt_143,mAb9,154,escape,400943.0,4.33e+05,4.31e+05,1.0799165966234603,1.0754172039417074
"expt_144-mAb10-147-escape, lib1",211108,expt_144,mAb10,147,escape,467946.0,8.61e+05,8.53e+05,1.8393190667299217,1.8233941523167203
"expt_144-mAb10-147-escape, lib2",211108,expt_144,mAb10,147,escape,441191.0,6.37e+05,6.32e+05,1.4446418897937627,1.4323932265164068
"expt_145-mAb11-125-escape, lib1",211108,expt_145,mAb11,125,escape,538149.0,6.99e+05,6.93e+05,1.2986496304926702,1.2868889471131602
"expt_145-mAb11-125-escape, lib2",211108,expt_145,mAb11,125,escape,446148.0,6.8e+05,6.74e+05,1.5235168598760949,1.5111846293158324
"expt_146-mAb12-267-escape, lib1",211108,expt_146,mAb12,267,escape,536557.0,8.07e+05,7.97e+05,1.5045484449927966,1.4856650831132574
"expt_146-mAb12-267-escape, lib2",211108,expt_146,mAb12,267,escape,532129.0,1.9e+04,1.88e+04,0.03567555987363966,0.03536548468510455
"expt_147-mAb13-147-escape, lib1",211108,expt_147,mAb13,147,escape,430775.0,5.06e+05,5e+05,1.173893563925483,1.1612071266902675
"expt_147-mAb13-147-escape, lib2",211108,expt_147,mAb13,147,escape,472865.0,6.1e+05,6.03e+05,1.289924185549787,1.2756706459560339
"expt_148-mAb14-256-escape, lib1",211108,expt_148,mAb14,256,escape,1384538.0,4.12e+06,4e+06,2.9758814853763496,2.892403819902379
"expt_148-mAb14-256-escape, lib2",211108,expt_148,mAb14,256,escape,1506071.0,2.24e+06,2.21e+06,1.4887598260639772,1.4648957452869087
